id,question,answer
979,Who asked a nearby local what the creatures were called?,Captain James Cook and naturalist Sir Joseph Banks
980,What are four species that are commonly referred to as kangaroos?,"The Red Kangaroo, The Eastern Grey Kangaroo, The Western Grey Kangaroo, and The Antilopine Kangaroo"
981,Are kangaroos and wallabies adept swimmers?,yes
982,Are kangaroos farmed to any extent?,No.
983,Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,Veterinarians
984,Different species of kangaroos eat what?,different diets
985,Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?,yes
986,Is a collision with a vehicle capable of killing a kangaroo ?,yes
987,Was the game of Marn grook played using a ball made from kangaroo by the Kurnai people ?,yes
988,"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?",yes
989,"Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB-?",yes
990,What kinds of changes have larger kangaroos adapted much better to?,Changes wrought to the Australian landscape by humans.
991,Have larger kangaroos adapted much better to changes?,yes
992,Is the leopard smaller than the other members of Panthera?,yes
994,Is a leopard larger and less lanky than a cheetah?,yes
996,Are large pythons potential prey for leopards?,yes
998,What may a leopard be mistaken for?,A cheetah or a jaguar
1000,What is a hybrid animal resulting from a union between a leopard and a puma?,a pumapard
1002,Where do leopards often hide their kills?,in dense vegetation
1004,How did early naturalists distinguish between leopards and panthers?,by the length of their tails
1006,What are dark leopards known as colloquially?,Black Panthers
1008,What shape are a leopard's black roS08_settes in East Africa?,circular
1010,Is the leopard an Old World mammal?,yes
1013,Is the leopard of the Felidae family?,yes
1016,Is the leopard one of the four 'big cats'?,yes
1019,Where is the leopard distributed?,southern Eurasia and Africa
1022,How long is a leopard's tail?,60 to 110cm
1025,How much does a leopard weigh?,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. 
1028,Does a male leopard weigh more than a female leopard?,yes
1031,What is the difference between leopards and cheetahs?,The leopard has roS08_settes rather than cheetah's simple spots and the leopard is larger and less lanky than the cheetah.
1034,How does the distribution size of the leopard compare to the distribution of other wild cats?,"As of 1996, the leopard had the largest distribution of any wild cat, although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa."
1037,What resembles that of the similarly-sized cougar in the Americas?,The leopard's ecological role
1038,"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus
1039,What sort of cats are solitary?,Leopards
1040,Are leopards circular?,No
1041,Is the leopard solitary?,Yes
1042,What centred in Sierra?,The leopard men
1043,Felis pardus was what?,"One of the many species described in Linnaeus's 18th-century work, Systema Naturae"
1044,Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?,Yes
1045,Were the Leopard men a West African secret society who practised cannibalism ?,Yes
1046,Was the leopard tank a German designed tank which entered service in 1965 ?,Yes
1047,Is the black color heritable and caused by only one recessive gene locus ?,Yes
1048,"Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (`` ` big cats ('' ' of the genus panthera , along with the tiger , lion , and jaguar?",Yes
1049,Can a panther be any of several species of large felid?,Yes
1050,Is the leopard an agile and graceful predator?,Yes
1051,Is Liechtenstein bordered by Switzerland?,Yes
1053,Is Liechtenstein the smallest German-speaking country in the world?,Yes
1055,Was Liechtenstein part of the ancient Roman province of Raetia?,Yes
1057,When was the first factory opened?,1836
1059,How many municipalities is Liechtenstein divided into?,11
1061,What is the national currency of Liechtenstein?,Swiss franc
1063,Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,Yes
1064,What company administers Leichtenstein's railways?,Austrian Federal Railways
1066,What percentage of Liechtenstein's population is foreign-born?,two-thirds
1068,Is there an airport in Liechtenstein?,No.
1070,Is Liechtenstein heavily urbanized?,No.
1072,Is Liechtenstein doubly landlocked?,Yes.
1074,Does Liechtenstein have an army?,No.
1076,When was Liechtenstein's current constitution adopted?,October 1921.
1078,What is the official language of Liechtenstein?,German.
1080,What countries border Liechtenstein?,Switzerland and Austria.
1082,What Roman province was Liechtenstein part of?,Raetia.
1084,How many municipalities are within Oberland?,6.
1086,What is the smallest German-speaking country in the world?,Liechtenstein
1087,"The Savings and Loans Bank was founded, as was the first cotton-weaving mill in what year?",1861
1088,What enjoys one of the world's highest standards of living?,Liechtenstein's population
1089,Does the state court rule on the conformity of laws?,Yes
1090,What do most recognizable international company and largest employer have in common?,They are Hilti.
1092,Was Liechtenstein completed in November 2000?,No
1093,What completed in November?,the Kunstmuseum Liechtenstein
1094,The State Court rules what?,on the conformity of laws with the constitution
1095,The Historical Society of the Principality of Liechtenstein plays what?,a role in preserving the culture and history of the country.
1096,Is the museum collection also the national art collection of Liechtenstein ?,Yes
1097,Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ?,Yes
1098,Are nationals referred to by the plural : Liechtensteiners ?,Yes
1099,"Is it a winter sports resort , although it is perhaps best known as a tax haven ?",Yes
1100,Is it a winter sports resort?,Yes
1101,Is it the smallest german-speaking country in the world?,Yes
1102,"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?",The Liechtenstein Dynasty acquired vast swaths of land
1103,"Did Webster write, ""I can now sleep of nights""?",Yes.
1105,Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?,Yes
1107,"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?",Yes
1109,Who got Seward elected to the senate?,Weed
1111,Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,Japan
1113,What is The Remarkable Millard Fillmore?,A fake biography based on real events that happened in Fillmore's life.
1115,Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Before.
1117,Did Fillmore run for President a second time?,Yes
1119,How long after the death of his first wife did Fillmore marry Caroline McIntosh?,where is the death date of his first wife?
1120,Was Millard Fillmore the thirteenth President of the United States?,yes
1123,"Was Millard Fillmore born on January 7, 1800?",yes
1126,"Did Millard Fillmore die on March 8, 1974?",no
1129,Where was Millard Fillmore born?,"in a log cabin in Summerhill, New York"
1132,To whom was Millard Fillmore born to?,to Nathaniel and Phoebe Millard Fillmore
1135,Who did Millard Fillmore fall in love with?,He fell in love with Abigail Powers
1138,What did Taylor and Fillmore disagree upon?,slavory issues
1141,How did Fillmore ascend to the presidency?,"upon the death of the sitting president, Taylor"
1144,How did the supporters of Henry Clay feel about Fillmore in 1848?,they were ok with him
1147,Who was first apprenticed to a fuller to learn the cloth-making trade?,millard fillmore
1148,He founded the private university of buffalo on what date?,1846
1149,Who or what fell in love with abigail powers?,millard fillmore
1150,Was Fillmore one of the founders of the University of Buffalo?,yes
1151,Was Another primary objective of Fillmore to preserve the Union from the intensifying slavery debate?,yes
1152,"Was Fillmore the second Chancellor, a position he maintained while both Vice President and President?",no
1153,Is Fillmore the first of two presidents to have been an indentured servant ?,yes
1154,Is the comic strip Mallard Fillmore named after the president ?,yes
1155,Was Fillmore the first U.S. President born after the death of a former president ?,yes
1156,"Did Fillmore not turn down the honor , explaining that he had neither the `` literary nor scientific attainment '' to justify the degree ?",no
1157,"What happened in a log cabin in summerhill , new york?",Fillmore was born
1158,"Who was born precisely at midnight during an electrical storm , to a Serbian family in the village of Smiljan near Gospić , in the Lika region of the Croatian Krajina in Military Frontier ( part of the Austrian Empire ) , in the present-day Croatia . ?",Nikola Tesla
1159,Are there at least two films describing Tesla 's life ?,Yes.
1160,Have a number of live theatrical plays based on Tesla 's life been produced and staged worldwide ?,yes.
1161,Do sea otters have long muscular tails?,no
1163,Can otters survive in cold water?,yes
1165,Does the giant otter inhabit South Africa?,no
1167,How many species of otter are there?,13
1169,What do river otters eat?,"a variety of fish and shellfish, as well as small land mammals and birds"
1171,How much do sea otters weigh?,30 kg (about 65 pounds)
1173,How do sea otters insulate themselves?,a layer of air trapped in their fur(!)
1175,Why are sea otters nearly extinct?,They've been hunted for their fur
1177,What is one of the challenges of re-establishing a population of Eurasian otters in the UK?,roadkill deaths
1179,Is otter a kind of mammal?,yes
1181,How many species and genera does otter have?,13 species and 7 genera
1183,Do otters live in water?,yes
1187,Where do sea otters live?,Sea otters (Enhydra lutris) live along the Pacific coast of North America. 
1189,"Where does the word ""otter"" derive from?","The word ""otter"" derives from the Old English word otr, otor or oter. "
1191,Does otter give birth or lay egg?,give birth
1192,What drives sea otter almost to extinction?,Humans hunted them almost to extinction. 
1194,Why otters are considered as totem animals?,"The time of year associated with this is also associated with the Aquarius sign of the Zodiac, through which the sun passes January 20-February 19. "
1195,Do sea otters live along the Pacific coast?,Yes
1197,Are otters totem animals?,Yes
1198,Are otters herbivores?,No
1200,What is the primary item in an otter's diet?,Fish.
1202,What is an otter's den called?,Holt
1204,Why is the giant otter becoming increasingly rare?,"Poaching, habitat loss, and toxins in gold mining.  "
1206,How do otters keep themselves warm without blubber?,A layer of air trapped in their fur.  
1208,How are otters playful animals?,"The slide down snowy slopes, apparently for sheer enjoyment.  "
1210,What animals are related to otters?,"weasels, polecats, and badgers"
1211,"What traps a layer of air, and keeps them dry and warm under water?",Long guard hair
1212,The collective noun romp is sometimes used for a group of what?,Otters
1213,Is it true that otters eat a variety of fish?,yes
1214,Are otters playful animals?,yes
1215,Are otters very active?,yes
1216,Are male otters dog-otters?,yes
1217,An otter 's den is what?,A holt
1218,Sea otters eat what?,Shellfish and other invertebrates
1219,Is the myth of Otter 's Ransom the starting point of the Volsunga saga ?,yes
1220,"Are Male otters dog-otters , females are bitches and babies are cubs or pups ?",yes
1221,Is an otter 's den called a holt ?,yes
1222,"Have most otters fish as the primary item in their diet , supplemented by frogs , crayfish and crabs ?",yes
1223,Do penguins feed on krill?,yes
1225,What is the largest living species of penguin?,Emperor Penguin
1227,Do penguins live almost exclusively in the Southern Hemisphere?,yes
1229,"What is ""tobogganing""?",when penguins slide on their bellies across the snow
1231,Why are penguins countershaded?,for camouflage
1233,Are penguins afraid of humans?,no
1235,How much time to penguins spend on land?,half of their life
1237,How many species of penguins are there?,between 17 and 20 living species
1239,How are Isabelline penguins different from most penguins?,they have brown rather than black plumage
1241,Are penguins birds?,yes
1243,Do penguins have a better than average sense of hearing for birds?,yes
1245,"Are penguins considered ""higher waterbirds""?",yes
1247,What order do penguins belong to?,Sphenisciformes
1251,How tall were the tallest prehistoric penguins?,1.80 meters
1253,What makes penguins so agile in the water?,Their wings have become flippers
1255,"Why do penguins ""tobaggan""?",It conserves energy while moving quickly
1257,Who spend half of their life on land and half in the oceans?,Penguins
1258,What is also the distance that Antarctic tourists are told to keep from penguins?,3 meters
1259,"What have become flippers, useless for flight in the air?",Penguins' wings
1260,What happens when mothers lose a chick?,"They sometimes attempt to ""steal"" another chick."
1261,Is it true that each penguin gets a turn in the center?,Yes
1262,Are all penguins countershaded?,Yes
1263,Are penguins astonishingly agile?,In the water they are.
1264,Are penguins at risk?,Yes
1265,"Is it also possible that penguin comes from the Latin pinguis , fat ?",Yes
1266,Have penguins an average sense of hearing for birds ?,Yes
1267,Can larger penguins dive deep in case of need ?,Yes
1268,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?",Yes
1269,"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",It is not even known.
1270,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,Yes
1271,"Is the smallest penguin species the little blue penguin -LRB- also known as the fairy penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2?",Yes
1272,What happened in a region not quite 2000 km south of the equator 35 mya?,At least one giant penguin.
1273,What is the last word on the page?,Connecticut
1275,Is polar bear a mammal?,Yes
1277,Is polar bear a carnivore?,Yes
1279,What is largest polar bear on record?,2200 lb
1281,What is polar bear's skin color?,white or cream
1283,How long is polar bear's guard hair?,5-15 cm
1285,What is cause of polar bear's skin diseases?,mites or other parasites
1287,Why polar bear is a special species?,"The World Conservation Union listed polar bears as a vulnerable species, one of three sub-categories of threatened status, in May 2006. Their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced."
1288,What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear about 200 thousand years ago.
1290,Does a polar bear live in the Arctic?,yes
1292,Is a polar bear white in color?,yes
1294,Is a polar bear at high risk of extinction?,yes
1296,How heavy is a male polar bear?,300-600 kg (660-1320 lb)
1298,How heavy was the largest polar bear on record?,1002 kg (2200 lb) 
1300,What does a polar bear's fur provide?,It provides the animal with effective camouflage.
1302,Do female polar bears weight more than the male?,no
1304,How much weight do female polar bears gain during pregnancy?,They gain double their weight.
1306,Can polar bears be seen under infrared photography?,Polar bears are nearly invisible under infrared photography.
1308,What is actually black in color?,A polar bear's skin.
1309,What insulate it against the cold?,Its think blubber and fur.
1310,What includes a lengthy justification of why this species is listed as vulnerable?,Database entry.
1311,What do with greenpeace and the natural resources defense council have in common?,They filed lawsuits in California.
1312,Are studies insufficient evidence for global protection?,It is arguable.
1313,Are polar bears excellent swimmers?,yes
1314,"A semi-aquatic marine mammal , the polar bear has what?","It has adapted for life on a combination of land, sea, and ice."
1315,Garbage is what?,"Garbage is now recycled or transported to Thompson, Manitoba."
1316,The bears sometimes what?,They sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites.
1317,Is the Polar Bear the mascot of Bowdoin college ?,yes
1318,Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,yes
1319,"Did Mitchell Taylor , the Nunavut Government Manager of Wildlife Research , not write a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time ?",no
1320,Are Cubs born in December without awakening the mother ?,yes
1321,Does Qatar rank as the eighth richest country in the world per capita?,No.
1323,Do nearly all Qataris profess Islam?,Yes.
1325,Can women legally drive in Qatar?,Yes.
1327,When did Qatar become an independent state?,"September 3, 1971."
1329,Where is Qatar's telecommunication system centered?,Doha.
1331,Where did a suicide-bombing kill a teacher in 2005?,At the Doha Players Theatre.
1333,Does the native pronunciation of Qatar sound like 'cutter'?,Yes.
1335,What is the Arabic word for municipalities?,baladiyah.
1337,What universities are in Education City?,"Carnegie Mellon University, Georgetown University School of Foreign Service, Texas A&M University, Virginia Commonwealth University, and Cornell University's Weill Medical College."
1339,What carried with it a tacit recognition of Qatar's status as distinct from Bahrain?,The British Protectorate (per Colonel Lewis Pelly) asking to negotiate with a representative from Qatar after Bahrain's violation of the 1820 Anglo-Bahraini Treaty.
1340,Qatar became an independent sovereign state in what year?,"On September 3, 1971."
1341,"What consists of a low, barren plain, covered with sand?",Much of the country.
1342,How do qatar and the wider region relate?,Qatar is aiming to become a role model for economic and social transformation in the region. Large scale investment in all social and economic sectors will also lead to the development of a strong financial market.
1343,Was Qatar University founded in 1973?,Yes
1344,Is Qatar bordered by Saudi Arabia to the south?,Yes
1345,What bordered by Saudi?,Qatar
1346,Who served as the headquarters and one of the main launching sites of the US invasion of Iraq in 2003 ?,Qatar.
1347,Has Qatar a modern Telecommunication system centered in Doha ?,Yes
1348,Was Qatar University founded in 1973 ?,Yes
1349,"Did the Qataris not choose as their negotiator the respected entrepreneur and long-time resident of Doha , Muhammed bin Thani ?",Yes
1350,Will oil and gas probably remain the backbone of Qatar 's economy for some time to come ?,Yes
1351,"Has it been created with a long term perspective to support the development of Qatar and the wider region , develop local and regional markets , and strengthen the links between the energy based economies and global financial markets ?",Yes
1352,What happened in these positions in english?,These allophones cannot occur there.
1353,Can these allophones not occur in these positions in english?,yes
1354,"Is -RRB- , officially the state of qatar -LRB- arabic (: : transliterated as dawlat qatar -RRB- , an arab emirate in southwest asia?",Yes
1355,Does Romania border Hungary?,Yes.
1357,Is Romania a secular state?,Yes.
1359,Is the president elected by popular vote?,Yes.
1361,How many counties is Romania divided into?,41.
1363,What is the highest mountain in Romania?,Moldoveanu Peak.
1365,What is the official language of Romania?,Romanian.
1367,Is the Romanian economy doing well?,Yes.
1368,Are there many Roma in Romania?,No.
1370,How many territories joined to form Romania?,2.
1372,Does Romania share a border with Ukraine?,yes
1374,Did Romania declare neutrality during World War I?,yes
1376,Does Romania share the same language with Moldova?,yes
1378,"Who was the first gymnast to score a perfect ""ten""?",Nadia Comăneci
1380,What is the largest city in Romania?,Bucharest
1382,What is the largest ethnic minority in Romania?,Hungarians
1384,How many countries in Europe are bigger than Romania?  ,eleven
1386,Why doesn't Romania have a state religion?  ,Romania is a secular state
1387,Why wasn't Romania neutral during World War II?,it received a Soviet ultimatum
1389,"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?",2007
1390,"What are approximately 42,000 years old and have been nicknamed`` John of Anina''?",the remains (the lower jaw) of the oldest modern human
1391,"Is it true that romania has a population of 21,698,181?",Yes
1392,What do economy and law have in common?,(not sure how to answer this)
1393,What did Tourism in Romania attract in 2005?,investments worth 400 million euros
1395,Is Romania a semi-presidential unitary state?,Yes
1398,Is Romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister ?,Yes
1399,Was Gellu Naum the leader of the surrealist movement in Romania ?,Yes
1400,Was the Bucharest Metro only opened in 1979 ?,Yes
1401,"Is romania -LRB- , -RRB- a country in southeastern europe?",Yes
1402,Is romania a semi-presidential unitary state?,Yes
1403,Do singaporeans enjoy squid?,"Yes, they do."
1406,Did Singapore's standard of living decrease since independence?,"No, the standard living was raised."
1409,Did the media contribute 15.6% to Singapore's GDP in 2001?,"No, it contributed 1.56% to GDP in 2001."
1412,How many people use the bus network daily?,More than 2.78 million people.
1415,Where did Orang Laut people live?,"Orang Laut people lived around the coast, rivers and smaller islands."
1418,What is the MRT?,One of three heavy rail passenger transport lines in Singapore.
1421,How is Singapore's climate characterized?,Singapore has a tropical rainforest climate with no distinctive seasons.
1424,How much increase in the media's contribution to GDP is the government seeking?,The government seeks to increase its GDP contribution to 3% by 2012. 
1427,How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,Six days
1430,Is Singapore located at the southern tip of the Korean Penisula?,no
1432,Is Singapore a city-state?,yes
1434,Has Sang Nila Utama visited Singapore?,yes
1436,"What does ""singa"" mean?",lion
1437,When is the first record of S08_settlement in Singapore?,second century AD
1439,Which nation invaded Singapore during World War II?,Japan
1441,"Why Churchill called the occupation of Singapor by Janpan during WWII ""Britain's greatest defeat""?",The British were defeated in six days
1442,Was Lee Kuan Yew a successful leader of Singapore?,yes
1444,When did Goh Chok Tong succeed Lee as Prime Minister?,"In 1990, Goh Chok Tong succeeded Lee as Prime Minister."
1446,What is the primary domestic source of water supply?,The primary domestic source of water supply in Singapore is rainfall.
1448,What is the national language of Singapore?,The national language of Singapore is Malay.
1450,Where is the National Orchid Garden?,Singapore Botanic Gardens.
1452,Why are relations with Malaysia and Indonesia important?,"Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important."
1454,What is the most densely populated independent country in the world?,Monaco
1456,Who did Sir Thomas Stamford Raffles work for?,British East India Company
1458,When was Lee Kuan Yew prime minister of Singapore?,1959
1460,What is the punishment for first-degree murder?,There are laws which allow capital punishment in Singapore for first-degree murder and drug trafficking.
1462,What established a trading post on the island in 1819?,British East India Company 
1463,What used Singapore as a strategic trading post along the spice route?,British
1464,What became one of the most important commercial and military centres of the British Empire?,Singapore
1465,"Who boasted a sizeable community of 100,000 by 1869?",British India office
1466,How do reservoirs and water relate?,"By 2001, there were 19 raw water reservoirs, 9 treatment works and 14 storage or service reservoirs locally to serve domestic needs. "
1467,Is it true that singapore has several long - standing disputes with malaysia?,Yes
1468,Has Singapore Changi Airport a network of 81 airlines connecting Singapore to 185 cities in 58 countries ?,Yes
1469,Has Singapore a network of reservoirs and water catchment areas ?,Yes
1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes
1471,"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?",No
1472,"Is singapore -LRB- ; (: ; , -RRB- , officially the republic of singapore -LRB- ; (: ; , -RRB- , an island nation located at the southern tip of the malay peninsula?",Yes
1473,Is singapore the 17th wealthiest country in the world in terms of gdp per capita?,No
1474,Was Thedore Roosevelt  a member of the Republican Party?,Yes
1476,Does Theodore Roosevelt have a brother?,Yes
1478,Did Theodore Roosevelt go to Harvard?,Yes
1480,Where was Theodore Roosevelt born?,28 East 20th Street in the modern-day Gramercy section of New York City
1482,What did Roosevelt do to improve his physical condition?,Roosevelt took up exercise
1484,Why did Roosevelt start Boxing lessons?,To deal with bullies
1486,What was the nickname of Theodore Roosevelt's sister Anna?,Bamie as a child and Bye as an adult
1488,What was Roosevelt's justification for supporting desegregation of schools in New York?,Noting that his children had been educated with other races and there was nothing wrong with it
1490,How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,mixing of the races on social occassions
1492,Did Theodore Roosevelt study Judo?,No
1494,Did Roosevelt receive a Medal of Honor?,yes
1496,Did Roosevelt study biology?,yes
1498,Where was Theodore Roosevelt from?,Gramercy section of New York City
1500,Who was Roosevelt's presidential hero?,Lincoln was Roosevelt's presidential hero.
1502,When did Roosevelt die?,"On January 6, 1919, Roosevelt died in his sleep."
1504,Who helped to fund Roosevelt's African safari?,Financed by Andrew Carnegie and his own proposed writings
1506,Did Roosevelt support racial integration in schools?,yes
1508,Was Roosevelt's family rich?,yes
1510,Are turtles ectothermic?,Yes
1512,Does the mother care for the young?,No
1514,Are turtles pets?,Yes
1516,What shape are the eggs of the larest species of turtle?,Spherical
1518,How often do turtles breed?,Every few years or more
1519,What do all turtles and tortoises breathe?,air
1521,How do turtles reproduce?,They lay eggs
1523,What has been discovered about turtles organs?,They do not gradually break down or become less efficient over time
1525,What suborder of turtle draws its head into its shell?,Pleurodira
1527,Do sea turtles lay eggs on dry sandy beaches?,Yes
1529,Are Pleurodira known as side-necked turtles?,Yes
1531,Are turtles a part of the Flying Spaghetti Monster?,*shrug*
1532,How many suborders are turtles divided into?,Three.
1534,Name a turtle popularly kept as a pet.,Russian Tortoises
1536,Name four related articles for the article on turtles.,"Triassic, Ernst Haeckel, Kunstformen der Natur, Animal"
1538,"If a turtle egg was kept warm, what would likely hatch?",A female turtle.
1540,What do turles use to breathe in the water?,Papillae
1541,Why are side-necked turtles called side-necked turtles?,Because of the way they withdraw their heads into their shells.
1543,Do turtles lay eggs underwater?,No
1545,Are turtle eggs leathery and soft?,Yes
1547,Are turtles being examined for longevity genes?,Yes
1549,What suborder of turtles is extinct?,Paracryptodira
1551,What do turtle eggs preared to eat consist mainly of?,Yolk
1552,Where do sea turtles lay their eggs?,Holes Dug into the Mud or Sand
1554,What is the smallest suborder of turtles?,Pleurodira
1556,What are turtle eggs covered in when they incubate?,Mud or Sand
1558,What type of creatures breathe air and don't lay eggs underwater?,Amniotes
1560,What are deposited in holes dug into mud or sand?,eggs
1561,What sort of turtles are ectothermic?,all of them
1563,Are the largest turtles aquatic?,yes
1564,Is aquatic respiration in Australian freshwater turtles being studied?,yes
1565,"These projections , called papillae , have what?",a rich blood supply
1566,The eggs of the largest species are what?,spherical
1567,Has this inspired genetic researchers to begin examining the turtle genome for longevity genes ?,yes
1568,Can turtles take many years to reach breeding age ?,yes
1569,Are Immature sea turtles not cared for by the adults ?,yes
1570,"Are the Pleurodira sometimes known as the side-necked turtles , a reference to the way they withdraw their heads into their shells ?",yes
1571,"Does the Order Testudines not include both extant -LRB- living -RRB- and extinct species , the earliest known turtles being from around 215 million years ago ?",yes
1572,Was Ulysses Grant a general in the American Civil War?,Yes
1574,Was Grant's father-in-law a Democrat?,Yes
1576,Did Ulysses win the Battle of Champion Hill?,Yes
1578,Who was Grant's brother in law?,Fred Dent
1580,Where was Grant born?,"Point Pleasant, Ohio"
1582,What was Grant's political affiliation?,Republican
1584,"Why did Grant say ""Damn, I had nothing to do with this batte.""?",It went well.
1586,Did Horace Greenley lose in the presidential elections of 1872?,Yes
1588,Why did Grant think that war was unjust?,He thought it was designed to gain land open to slavery.
1590,Who achieved international fame as the leading Union general in the American Civil War?,Grant
1591,Grant was elected president as a Republican in what year?,1868
1592,Who took a hard line that reduced violence by groups like the Ku Klux Klan?,Grant
1593,When did he vote for democrat james buchanan?,1856
1594,"Who did President Lincoln promote of major general in the regular army, effective July 4?",Grant
1595,Was Grant elected president as a Republican?,yes
1596,What was from Pennsylvania?,His father
1597,Was it a two-sentence description that completely caught the essence of Ulysses S. Grant ?,yes
1598,Was Grant 's favorite brand of bourbon whiskey Old Crow ?,yes
1599,Had he smoked only sporadically ?,yes
1600,"Did Grant & Perkins not sell harnesses , saddles , and other leather goods and purchase hides from farmers in the prosperous Galena area ?",they did
1601,Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ?,yes
1602,What happened in 1865?,he accepted the surrender of Robert E. Lee
1603,What happened in recent years?,his reputation as president has improved
1604,Is Uruguay located in the northwesten part of Africa?,No.
1606,Is Uruguay's capital Montevideo?,Yes.
1608,Does Uruguay have cold summers?,No.
1610,Who founded Montevideo?,The Spanish.
1612,Where is Uruguay's oldest church?,"San Carlos, Maldonado."
1614,Who heavily influenced the architecture and culture of Montevideo?,European immigrants.
1616,What are poor neighborhoods called informally?,Cantegriles.
1618,Is uruguay's landscape mountainous?,No.
1620,What religion do most Uruguayans profess?,None.
1622,Is Uruguay located in South America?,Yes. It's located in the southeastern part
1624,Can citizens propose changes to the Constitution?,Yes. People are allowed to challenge laws.
1626,Did Uruguay host the first ever World Cup?,"Yes, in 1930."
1630,How many square kilometres of continental land is Uruguay?,176.215 km�� 
1632,How much of the population is of white European descent?,88%
1634,Why was the capital of Uruguay founded?,For a military stronghold.
1636,How many times has Uruguay won the World Cup?,Twice. 
1638,How much is the average income of an African woman compared to a European man?,African women earns 0.65 * 0.718  = 46.67% of a European man earns in average
1639,Does Uruguay recognize same-sex civil unions?,Yes
1641,Does Uruguay border French Guiana?,No
1643,Is Uruguay's warmest month June?,No
1645,What does a citizen use to propose changes to the Constitution?,Referendum
1649,What religions are found in Uruguay?,"Roman Catholic, Protestant, Jewish, and nonprofessing."
1651,What has Uruguay done to be competitive in agriculture?,"Labeling as ""Natural"" or ""Ecological"""
1653,What are the names of Uruguay's political parties?,Partido Colorado and Partido Blanco
1655,Is Uruguay the smallest soverign nation in South America?,No
1657,What was founded by the Spanish in the early 18th century as a military stronghold?,Montevideo
1658,What has many possible meanings?,(What?)
1659,How do india and latin america relate?,Uruguay exports architectural services to India and Latin America
1660,What did Uruguay win in 1828?,Its independence
1661,Is Uruguay very common?,No?
1662,Is The climate in Uruguay temperate?,Yes
1663,Is the main sport in Uruguay football ?,Yes
1664,"Is Uruguay 's oldest church in San Carlos , Maldonado ?",Yes
1665,Is Uruguay a member of the Cairns Group of exporters of agricultural products ?,Yes
1666,Is it widely considered the most secular nation in Latin America ?,Yes
1667,"Is it the second smallest independent country in south america , larger only than suriname and the french overseas department of french guiana?",Yes
1668,"Is it a constitutional democracy , where the president fulfills the roles of both head of state and head of government?",Yes
1669,Was Woodrow Wilson the thirtieth President of the United States?,no
1671,Did Woodrow Wilson create the League of Nations?,yes
1673,Did the U.S. join the League of Nations?,no
1675,Where was the League of Nations created?,Paris
1677,When was Woodrow Wilson born?,"December 28, 1856"
1679,Who was President when Wilson finished Congressional Government?,Grover Cleveland
1681,What field did Woodrow Wilson leave law practice to study?,history and political science
1683,What caused Wilson to ask Congress to declare war on the Central Powers?,German began unrestricted submarine warfare
1685,What was more damaging than moving students into colleges?,His confrontation with Andrew Fleming West
1686,Was Wilson a member of the Phi Kappa Psi fraternity?,yes
1688,Was Wilson an automobile enthusiast?,yes
1690,Did Wilson's father own slaves?,yes
1692,Where is Wilson buried?,He was buried in Washington National Cathedral
